sex,age,disclosed,level,median_abs_gap,max_abs_gap
female,40,edu,graduate,11.745246663934736,53.350390889490825
female,40,race,hispanic,31.041951603793947,165.58784757846792
female,40,race,nh_white,21.171247492554357,61.08187434290828
female,40,race,nh_black,34.997567805112006,194.2730666910601
female,40,race,nh_asian,22.7763584165954,221.55177940601095
female,40,race,nh_aian,17.050059900266177,324.2221068532891
female,40,race,nh_nhpi,33.11154035944499,450.0291081519503
female,40,race,nh_twoplus,9.996094911412072,83.69855906024104
female,40,race,nh_other,19.279300402136897,510.74093726091724
female,40,both,hs_or_less+hispanic,33.75029670997668,176.07346485020003
female,40,both,hs_or_less+nh_white,23.052685668752247,84.36000577586206
female,40,both,hs_or_less+nh_black,36.6817116400965,243.95318530735952
female,40,both,hs_or_less+nh_asian,14.069742344733385,120.0123379881992
female,40,both,hs_or_less+nh_aian,18.133709186715237,368.80311530527285
female,40,both,hs_or_less+nh_nhpi,32.63793160280635,491.6981945276896
female,40,both,hs_or_less+nh_twoplus,11.870969626670089,143.1772725069995
female,40,both,hs_or_less+nh_other,19.007404226120556,296.26549868314396
female,40,both,some_college+hispanic,29.27878029821329,162.76187238038898
female,40,both,some_college+nh_white,22.53465378159528,85.70488757343979
female,40,both,some_college+nh_black,35.4073604442294,208.70264641362886
female,40,both,some_college+nh_asian,17.03716487178285,170.8495538950349
female,40,both,some_college+nh_aian,17.97581172104691,333.1051958235998
female,40,both,some_college+nh_nhpi,35.52639348052175,504.74766804233263
female,40,both,some_college+nh_twoplus,11.18633695991798,87.76349570664748
female,40,both,some_college+nh_other,19.536842745293413,526.0176418437361
female,40,both,bachelors+hispanic,30.562783524084736,174.03280596294985
female,40,both,bachelors+nh_white,20.00175213048763,62.76257567863746
female,40,both,bachelors+nh_black,34.12370328472963,153.51087143244914
female,40,both,bachelors+nh_asian,29.026226405157857,257.91603010783587
female,40,both,bachelors+nh_aian,19.30924249145515,224.58611293097823
female,40,both,bachelors+nh_nhpi,32.90224789175004,431.3005597625941
female,40,both,bachelors+nh_twoplus,9.99320644897422,48.34696518513725
female,40,both,bachelors+nh_other,25.85353726471395,703.4514965588943
female,40,both,graduate+hispanic,29.579510856220566,168.46479022121895
female,40,both,graduate+nh_white,18.415547742222515,75.29019916853395
female,40,both,graduate+nh_black,36.311501682127926,145.08041655862746
female,40,both,graduate+nh_asian,33.66175791733235,307.72217724490014
female,40,both,graduate+nh_aian,22.191221119587297,211.39623788287093
female,40,both,graduate+nh_nhpi,33.1652553343678,491.66199480061726
female,40,both,graduate+nh_twoplus,13.443005929589134,60.21620534394765
female,40,both,graduate+nh_other,30.62667791186974,520.1166143476075
female,50,edu,hs_or_less,6.168313999669408,41.774180685418756
female,50,edu,some_college,4.006268479484234,14.635210419831893
female,50,edu,bachelors,6.287540307365873,33.87162736841492
female,50,edu,graduate,8.912109108113398,52.74719408673012
female,50,race,hispanic,30.605590712868505,226.64787056082423
female,50,race,nh_white,18.12640146984944,58.73325317592579
female,50,race,nh_black,39.55884962172983,181.03250744842484
female,50,race,nh_asian,18.316993327438922,210.4091714557764
female,50,race,nh_aian,18.140259932949533,506.5128929584255
female,50,race,nh_nhpi,25.501642635643265,384.27465173780683
female,50,race,nh_twoplus,9.029966053390751,83.1533178239902
female,50,race,nh_other,20.45751525516266,159.9969239333858
female,50,both,hs_or_less+hispanic,32.28943017927196,240.2269279935332
