cbsa,year,agencies,agencies_full_year,covered_pop,coverage,violent_per_100k,property_per_100k,agency_pop_over_census,zero_pop_offense_share
34980,2023,75,58,2089251.0,1.0,597.0082101193203,2250.471580485064,1.0105720618610599,0.015506056794863308
34980,2024,75,62,2132637.0,1.0,558.5573165991212,2144.434331768604,1.0290920382108402,0.018223622583666867
34980,2025,75,64,2181415.0,1.0,472.0789029139343,1793.5147599150093,1.051650577271229,0.0246299585553582
35300,2021,15,15,596778.0,1.0,290.0576093622754,2403.9089912831905,1.0479533601418862,0.00037306472673008767
35300,2022,15,14,608956.0,1.0,276.8672941887427,2434.658661709549,1.0693381565315117,0.0
35300,2023,15,15,615785.0,1.0,293.9337593478243,2619.258345039259,1.081330008604492,0.0015584126454054655
35300,2024,15,15,610350.0,1.0,258.8678627017285,2422.380601294339,1.0717860466749785,0.0010986998718183483
35300,2025,15,14,620488.0,1.0,187.27195368806488,2053.706115186756,1.089588564805872,0.0
35380,2021,20,15,1004903.0,1.0,814.1084263854322,2794.1005251253105,1.026635834189791,0.0002757175549367228
35380,2022,20,16,973014.0,0.9920777663583419,833.3898587276237,3246.4075542592395,0.99692490905235,0.004364074139098593
35380,2023,20,16,956959.0,0.9757082089430497,741.0975809830934,3317.9059917927516,0.9786701251243903,0.00313101501347363
35380,2024,20,13,591964.0,0.6035620483205273,330.76335723118297,2053.503253576231,0.9771621478327542,0.005425974209005708
35380,2025,20,13,598678.0,0.6104075922935122,269.76104015848256,1676.360247077728,0.9824721855168926,0.007327255687143222
35620,2021,491,122,3485759.0,0.17608206254709233,205.1776958762783,943.610846303488,0.9946965330905495,0.012892252323316982
35620,2022,491,428,18882371.0,0.9538372651291733,415.1703194477007,1598.766383734331,0.9846334496237725,0.008223100836654217
35620,2023,491,415,18810865.0,0.9502251611470872,391.9915431852815,1735.34284574367,0.981966829240723,0.00893805769988038
35620,2024,491,426,17771387.0,0.897716244089905,422.1955213737678,1740.9896031187661,0.9997733612505306,0.011229597164565296
35620,2025,491,436,17994962.0,0.9090100676542898,398.3559398458302,1621.7427966783146,1.0126800180868092,0.009371721328228257
35660,2021,20,20,153791.0,1.0,603.4163247524237,1765.3828897659812,1.003386137063521,0.0473326359832636
35660,2022,20,19,151587.0,0.989006472154079,543.5822333049667,1902.5378165673837,0.99242523096195,0.04086911536471805
35660,2023,20,18,151500.0,0.9884388538023905,460.72607260726073,1746.5346534653468,0.9954068583955321,0.03935650675093364
35660,2024,20,19,152816.0,0.9970248969152878,480.97057899696364,1793.0059679614699,1.0004371313742888,0.02633790977864948
35660,2025,20,19,151304.0,0.9871600814238739,483.1332945592979,1454.6872521546027,0.990546218487395,0.023317788141239172
35840,2021,26,1,279852.0,0.31481964793549083,142.93269299486872,1085.5738032960278,0.9684383887108967,0.0
35840,2022,26,15,513837.0,0.5780411911875878,233.5370944482394,1417.3755490554397,1.0044098059685374,0.009226816164447559
35840,2023,26,13,525361.0,0.5910051207746859,171.50112018212238,1038.3336410582438,1.0354404406206128,0.003605580812039505
35840,2024,26,13,536768.0,0.6038374311530292,211.63705735066173,1132.3327769166567,1.0709236293603082,0.002764722145424385
35840,2025,26,15,513847.0,0.5780524406926095,163.27817424252746,846.9447131149934,1.0636339501061953,0.0038380349261178275
35980,2021,10,10,159149.0,0.5698668690962997,183.47586224230125,1193.2214465689385,0.5698668690962997,0.12043356081894821
35980,2022,10,10,163307.0,0.5847554731195886,157.98465466881396,1216.114434776219,0.5847554731195886,0.11058263971462545
35980,2023,10,10,162891.0,0.5832658965746901,130.1483814329828,1114.242039155018,0.5832658965746901,0.10309734513274336
35980,2024,10,10,162882.0,0.5832336701590553,127.6998072224064,1122.2848442430716,0.5832336701590553,0.09871624612660469
35980,2025,10,10,165320.0,0.5919634480832444,113.1139608032906,907.3312363900314,0.5919634480832444,0.10976253298153034
36100,2021,11,2,366209.0,0.9150078081079392,345.43116089446187,1342.1297674278894,0.9328977450184271,0.0
36100,2022,11,5,393316.0,0.9827372103191955,288.06354178319725,1071.6573950716472,0.9970441626585046,0.0
36100,2023,11,5,404670.0,1.0,294.313885388094,1145.1306002421725,1.0160859516521956,0.00017164435290078958
36100,2024,11,5,426777.0,1.0,253.5281891948254,1111.3532359991284,1.0713548628896246,0.0006862240521530279
36100,2025,11,6,433613.0,1.0,256.44987581091897,967.4525440888534,1.0885926666250234,0.001129305477131564
36220,2021,6,5,171710.0,1.0,416.9821210179955,1764.020732630598,1.0427964995171957,0.01706036745406824
36220,2022,6,6,161546.0,0.9810704286937564,415.9805875725799,1580.9738402684068,0.9810704286937564,0.025966183574879228
36220,2023,6,6,162901.0,0.9892993568682703,316.14293343810044,1372.6128139176556,0.9892993568682703,0.03167898627243928
36220,2024,6,6,170157.0,1.0,275.6278025588133,1475.1082823510053,1.0333651154175498,0.034672715489306546
36220,2025,6,6,174838.0,1.0,338.0272023244375,1476.7956622702159,1.0617928739303912,0.02608962553713935
36260,2021,25,23,614574.0,0.9407216456494878,200.78948995564406,1610.383778031612,0.9956703184464583,0.0032237843646458313
36260,2022,25,24,646474.0,0.9895506239274798,188.561334253195,1452.494609218623,0.9987056746823598,0.004784240150093808
36260,2023,25,21,575994.0,0.8816676650236279,206.59937429903783,1237.860116598437,1.004790163354931,0.000720634158059092
36260,2024,25,24,658688.0,1.0,174.43767003497862,1090.0456665371162,1.0286979944434562,0.004541651727022828
36260,2025,25,24,657470.0,1.0,164.11395196739016,970.23438331787,1.0265718674582482,0.0037403152551429334
