cbsa,sex,band,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
19660,Female,65-69,31176.0,31068,108.0,1218.7994092548618,1067.7722116742643,True,True
38940,Female,40-44,14531.0,14679,-148.0,1049.0,979.560552409855,True,True
42700,Male,60-64,3401.611663277741,3741,-339.3883367222588,434.3109485150012,299.1306828446171,True,True
19660,Female,50-54,22185.0,22325,-140.0,80.0,270.52924008321173,False,True
38940,Female,35-39,14137.0,13969,168.0,1005.0,997.2899158901838,True,True
38060,Male,40-44,167760.8316496603,167410,350.83164966030745,3058.0,3144.2257929633806,True,True
38060,Female,30-34,178840.7991043029,178262,578.7991043028887,47.0,1015.413895379628,False,True
38060,Male,35-39,174811.6492786076,175920,-1108.3507213924022,3043.0,3691.67061037969,True,True
38060,Female,18-24,220947.89361052442,220701,246.8936105244211,3135.6016966445213,1334.2478072279487,True,True
46060,Male,25-29,36091.90004834729,36970,-878.0999516527081,45.0,627.5121934223027,False,False
38060,Male,45-49,153319.81597496118,152938,381.8159749611805,67.0,1321.358056498928,False,True
29420,Female,40-44,4834.0,5103,-269.0,612.0,515.7907927154187,True,True
39150,Male,45-49,5575.0,5425,150.0,93.0,195.2286526710411,False,True
29420,Female,45-49,4965.0,4943,22.0,87.0,183.4565922466402,True,True
39150,Male,40-44,5309.0,5292,17.0,490.0,640.996788404591,True,True
39150,Male,35-39,6372.0,6273,99.0,494.0,666.6629134858936,True,True
22380,Female,60-64,4483.0,4396,87.0,459.02723230762683,327.06823934960426,True,True
16980,Male,18-24,418804.3051730057,419815,-1010.6948269943241,3692.1530304146386,1879.3534258288948,True,True
16980,Male,30-34,334731.73016066017,336511,-1779.2698393398314,395.0,1113.5205942722935,False,False
37900,Male,18-24,15204.226090687096,15030,174.22609068709608,619.1744503772745,282.90204613723984,True,True
37900,Male,30-34,11456.62515778647,11661,-204.37484221353043,109.0,259.66052855113975,False,True
44100,Female,18-24,8236.296243150402,8186,50.296243150402006,453.756542652555,274.8595617349636,True,True
19340,Male,35-39,11850.923959978303,12127,-276.0760400216968,655.0,698.3189475764196,True,True
44100,Female,30-34,6681.705464381943,6712,-30.294535618057125,15.0,142.74280656488233,False,True
28100,Male,55-59,3272.6154568566376,2893,379.6154568566376,312.0,334.46416658267765,False,True
14010,Male,60-64,4440.0,4557,-117.0,411.86648321998723,363.1806471699036,True,True
19340,Male,40-44,12821.139440962725,12814,7.1394409627246205,689.0,771.6334547608898,True,True
16580,Female,30-34,7476.179711155153,7548,-71.8202888448468,86.0,212.86973802865117,True,True
16580,Female,18-24,23651.53559329089,23794,-142.46440670911034,1303.3261295623595,828.7735945774814,True,True
19340,Male,45-49,11043.211936214295,11287,-243.78806378570516,97.0,247.440172280236,False,True
10780,Male,30-34,5513.195520604699,5275,238.1955206046987,133.0,160.66913685361914,False,False
43340,Male,25-29,12173.206997750141,11945,228.20699775014145,149.0,334.05933733691353,False,True
12940,Male,55-59,23905.060562188355,24696,-790.9394378116449,990.0,1242.0000725805937,True,True
10780,Male,18-24,7265.8039643048905,6373,892.8039643048905,465.6329026175019,290.19203510178033,False,False
29340,Female,25-29,7802.415339269184,7893,-90.58466073081581,166.0,278.5529752292122,True,True
