cbsa,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
20580,24610.33049763343,21211.0,3399.3304976334293,1363.0,973.1203576573065,False,False
28940,40310.245451958624,40856.0,-545.7545480413755,513.0,466.87285557151375,False,True
34980,47205.368810337735,47249.0,-43.63118966226466,520.0,523.9249979278662,True,True
12580,52372.21904001954,52391.0,-18.780959980460466,369.0,398.1736403031751,True,True
36420,38708.06343220849,39078.0,-369.93656779151206,437.0,521.273988206042,True,True
21420,33577.9884524132,33517.0,60.98845241319941,1231.0,1422.8182168140418,True,True
14460,63085.180181160336,63282.0,-196.81981883966364,361.0,339.3034250347188,True,True
27140,34985.88840681899,34708.0,277.8884068189873,652.0,652.5039075067201,True,True
24340,41140.95546271646,41561.0,-420.0445372835384,506.0,543.6590453356273,True,True
27340,33280.5318733933,33305.0,-24.468126606698206,1036.0,982.0330512825877,True,True
11500,29849.067727757647,30275.0,-425.93227224235306,1040.0,1345.4938740319058,True,True
48300,43588.00546491601,42730.0,858.0054649160083,1496.0,1774.4292038108597,True,True
13380,45176.583548650124,45361.0,-184.4164513498763,1079.0,1037.6105353201224,True,True
45780,38658.8642256163,38776.0,-117.13577438369975,674.0,721.8318554290219,True,True
48260,34479.012663184614,33715.0,764.0126631846142,1008.0,876.0144039101041,True,True
32780,40042.755579840836,40709.0,-666.2444201591643,1043.0,1191.3855656671387,True,True
16700,48173.581514481055,48581.0,-407.4184855189451,843.0,805.1058567625793,True,True
47930,46657.32077870867,46363.0,294.32077870867215,921.0,938.0136395974167,True,True
49740,30406.46918854743,30204.0,202.46918854743126,996.0,939.6214332029415,True,True
33500,43716.32548609566,42764.0,952.3254860956586,1895.0,1603.8532961642702,True,True
12540,29695.01882477159,29699.0,-3.9811752284113027,507.0,464.87095232011114,True,True
46700,44579.25617925294,45127.0,-547.7438207470623,720.0,799.3465441939558,True,True
17020,38186.48128104568,38305.0,-118.51871895432123,999.0,1158.0119550424636,True,True
41180,45625.5187147345,45864.0,-238.48128526550136,341.0,385.2228256749535,True,True
37140,33736.37504621386,37011.0,-3274.6249537861368,1760.0,782.6842786673898,False,False
10180,32831.98012713967,33225.0,-393.0198728603282,996.0,955.7709099134247,True,True
46340,36513.44360737149,35679.0,834.4436073714896,1086.0,1220.5629470529216,True,True
29700,25181.166266025455,24920.0,261.1662660254551,716.0,1000.0252557384653,True,True
21500,36349.440715193174,35812.0,537.4407151931737,791.0,1098.005762704218,True,True
27620,37863.55188046303,36772.0,1091.5518804630265,1165.0,1095.3776560033727,True,True
41620,45118.21994151659,44702.0,416.21994151658873,486.0,561.6091160438797,True,True
30020,30714.051732218384,31322.0,-607.9482677816159,977.0,1136.2534334718457,True,True
22900,31967.941928595003,32511.0,-543.0580714049975,1682.0,1180.7681212403788,True,True
12100,45303.22304758313,45232.0,71.22304758313112,924.0,1159.6305086631012,True,True
46660,29588.034150022293,30036.0,-447.96584997770697,1213.0,1060.7290830376214,True,True
13020,39939.15396092891,35602.0,4337.15396092891,936.0,1291.388824738858,False,False
24660,37310.82205071331,37114.0,196.82205071330827,571.0,645.8415539267459,True,True
33660,33391.71677982859,33306.0,85.71677982858819,668.0,897.7990761326124,True,True
49660,33554.12593207536,33561.0,-6.874067924640258,639.0,624.9856151233796,True,True
31900,31666.99069953548,31336.0,330.9906995354795,772.0,1130.506600190741,True,True
33340,45495.06848378329,45732.0,-236.93151621671132,439.0,547.4223489478094,True,True
18020,39114.76947161283,41608.0,-2493.2305283871683,1483.0,1390.7188105474993,False,False
14020,37646.6358518008,38095.0,-448.36414819920174,1381.0,1176.3540601360178,True,True
29200,33774.074342145286,33768.0,6.074342145286209,731.0,706.3838449052275,True,True
16620,36518.313937980325,35996.0,522.3139379803251,878.0,1032.366508339731,True,True
37620,34049.21309184726,34225.0,-175.78690815273876,955.0,1315.6247981917065,True,True
33700,34847.77431998693,34849.0,-1.2256800130708143,575.0,621.0812279933092,True,True
47300,28128.034738971626,28185.0,-56.96526102837379,459.0,581.6292168601922,True,True
16020,33470.51732784488,34681.0,-1210.4826721551217,1216.0,1116.8760419473256,True,True
45500,29737.45701774881,30330.0,-592.5429822511906,978.0,903.4381333579428,True,True
41660,35461.02806697285,35909.0,-447.9719330271473,1453.0,1465.369672453611,True,True
47020,35085.62631950077,33858.0,1227.6263195007705,1046.0,1396.5760198891026,False,True
31340,36624.23577057753,35668.0,956.2357705775285,792.0,991.6782920611901,False,True
48700,34492.65710779726,35479.0,-986.3428922027379,1257.0,953.414126925681,True,True
17980,32516.707485492934,33493.0,-976.2925145070658,971.0,697.5724539978165,False,True
33780,40148.14363664693,40470.0,-321.8563633530721,1125.0,1520.9037805999142,True,True
25860,34324.480040369475,34781.0,-456.5199596305247,828.0,826.7121041020415,True,True
38240,43330.76985377869,45505.0,-2174.230146221307,1596.0,1393.4866122188141,False,False
20020,33288.055925431174,32790.0,498.0559254311738,656.0,845.199693858312,True,True
19300,42922.12629345638,42357.0,565.1262934563783,1067.0,1356.3613848198838,True,True
44220,34032.60717261559,33791.0,241.6071726155933,774.0,911.4458643094742,True,True
34820,37567.722706408786,38025.0,-457.2772935912144,913.0,808.2054811849017,True,True
41060,38678.39184983503,38346.0,332.3918498350322,870.0,1202.9576481776583,True,True
33460,52263.443835951206,52840.0,-576.556164048794,319.0,433.05237879742634,False,False
48140,43255.88114205455,41413.0,1842.8811420545535,924.0,1710.3056302710188,False,True
29420,36199.90258491743,35963.0,236.9025849174286,1099.0,1151.1105597874914,True,True
22380,38428.19644699806,38920.0,-491.8035530019406,1278.0,1456.8828002996268,True,True
27860,32196.360402081806,32407.0,-210.63959791819434,1258.0,1258.3814300265358,True,True
