cbsa,sex,band,edu4,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
36220,Female,25-34,hs_or_less,4808.0,4737,71.0,770.865747066245,689.6847645845165,True,True
36260,Female,25-34,hs_or_less,14809.026599070134,13734,1075.0265990701337,1047.1189044229886,1182.8070490188743,False,True
36420,Female,25-34,hs_or_less,30898.315055460527,30635,263.3150554605272,1285.9012403757918,1917.188646165508,True,True
36500,Female,25-34,hs_or_less,4745.0,4908,-163.0,534.2068887612738,600.9386737648443,True,True
36540,Female,25-34,hs_or_less,13448.890266349637,14679,-1230.1097336503626,857.6916695409838,1058.9433238331524,False,True
36740,Female,25-34,hs_or_less,52922.0,52541,381.0,2720.8125624526215,2297.180922107029,True,True
36780,Female,25-34,hs_or_less,2391.0,2637,-246.0,339.8602654032978,518.5226833562829,True,True
36980,Female,25-34,hs_or_less,2314.923730648394,2251,63.92373064839421,405.2690464370552,505.578915781993,True,True
37100,Female,25-34,hs_or_less,15227.0,15370,-143.0,999.348287635497,934.4179931386435,True,True
37140,Female,25-34,hs_or_less,2048.1400759260205,1768,280.1400759260205,293.1774206858366,203.58662320017478,True,True
37340,Female,25-34,hs_or_less,9560.0,10467,-907.0,1062.88004967635,871.785051118537,True,True
37460,Female,25-34,hs_or_less,4249.159817463846,4201,48.159817463845684,559.9258879530397,599.6092220191225,True,True
37620,Female,25-34,hs_or_less,1593.0284425793045,1877,-283.9715574206955,305.97712332787233,277.99846266354524,True,True
37860,Female,25-34,hs_or_less,9723.0,9937,-214.0,855.0,924.4674614690341,True,True
37900,Female,25-34,hs_or_less,5224.706100294159,5217,7.706100294159114,585.4681887173717,732.9211407414339,True,True
37980,Female,25-34,hs_or_less,99347.29146838633,100938,-1590.7085316136654,3327.6870345631964,4288.665807766065,True,True
38060,Female,25-34,hs_or_less,99156.41250413496,99304,-147.58749586503836,2775.1455817668375,3115.097645186892,True,True
38240,Female,25-34,hs_or_less,1648.34703457004,1429,219.34703457004002,279.54963781053266,321.2243773487746,True,True
38300,Female,25-34,hs_or_less,35730.312856683144,35226,504.31285668314376,1461.6186233077356,1878.2222655826938,True,True
38340,Female,25-34,hs_or_less,1223.0,1530,-307.0,309.39618614326844,237.12005978248658,True,True
38540,Female,25-34,hs_or_less,2010.445156670975,1994,16.44515667097494,334.38600449181484,290.37548033439464,True,True
38860,Female,25-34,hs_or_less,7227.0,7448,-221.0,754.9708603648223,853.1899187248698,True,True
38900,Female,25-34,hs_or_less,42785.27240929024,42141,644.2724092902426,1770.1505585683947,1866.9741502196032,True,True
38940,Female,25-34,hs_or_less,8813.0,8817,-4.0,1029.656738918364,1011.0118342692633,True,True
39150,Female,25-34,hs_or_less,3448.0,3609,-161.0,448.1272140810018,467.7127283934553,True,True
39300,Female,25-34,hs_or_less,29385.0,29157,228.0,1450.3565078972824,1457.1786610621912,True,True
39340,Female,25-34,hs_or_less,10252.382213978199,9733,519.3822139781987,719.2509993041372,923.6211821190186,True,True
39380,Female,25-34,hs_or_less,3612.656138985688,3734,-121.3438610143121,464.8978382397578,461.65626115032416,True,True
39460,Female,25-34,hs_or_less,2113.0,2331,-218.0,396.6295500842064,385.16086346161916,True,True
39540,Female,25-34,hs_or_less,3965.0,3340,625.0,425.57490527520537,683.9550171511647,False,True
39580,Female,25-34,hs_or_less,19651.568786271117,18886,765.5687862711166,1364.446774337497,1497.3174910797745,True,True
39660,Female,25-34,hs_or_less,2051.192850048211,2093,-41.80714995178914,329.607342151233,430.1736064989544,True,True
