cbsa,sex,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
33540,Male,1,9966.834878742238,10346,-379.1651212577617,931.4424297829684,835.2952464088717,True,True
33660,Male,1,26784.0,27035,-251.0,1505.2959841838415,1393.071870316191,True,True
33700,Male,1,37928.0,37628,300.0,1793.9626528999984,1876.188630574962,True,True
33740,Male,1,12448.133166151023,13140,-691.866833848977,1113.3260977808793,1040.0525850929337,True,True
33780,Male,1,8918.0,8848,70.0,745.2858512007323,937.7249599422797,True,True
33860,Male,1,24283.623436423462,24416,-132.3765635765376,1470.5301765009788,1398.56136075201,True,True
34060,Male,1,9357.324079297425,9804,-446.67592070257524,821.3641092718868,849.0702594631468,True,True
34100,Male,1,9378.387381666787,8854,524.3873816667874,848.1585936604074,766.8819948585423,True,True
34580,Male,1,7577.0,7485,92.0,685.9672003820591,766.2654733103274,True,True
34620,Male,1,8110.0,8203,-93.0,700.4370064466897,784.1326947079813,True,True
