cbsa,alpha,beta,n_fit_points,fallback,val_p90_rel_err
18880,0.3536923747705729,-0.554404825673606,75,False,0.4178852939846293
19100,0.4557810676143002,-0.5425109163136642,111,False,0.3255074494024228
19140,0.6009770230410015,-0.6561572010319049,52,False,0.49980601277677494
19300,0.42624674263929496,-0.5726045697820751,57,False,0.29569499403020544
19340,0.42930651609128895,-0.5633866391294164,75,False,0.6439547138910601
19430,0.24733259876608957,-0.5260445262328576,92,False,0.30295484262994027
19460,0.35073435933651836,-0.571924094993333,58,False,0.5271277068573135
19500,0.341642372401374,-0.5913742711373989,55,False,0.4308051706052141
19660,0.3490662739425663,-0.5426532800070593,87,False,0.31001667408920175
19740,0.3737539570342103,-0.5390752984678118,108,False,0.38679164671014493
19780,0.35841315699692555,-0.5456499515943388,82,False,0.3946820739336641
19820,0.4882669858377035,-0.5555498142818788,107,False,0.4023333620445546
20020,0.4677312778523599,-0.5695244239881606,71,False,0.3496816518837684
20100,0.48333696921180896,-0.5855043418211008,67,False,0.5632288358172126
20220,0.27955848337401784,-0.5881963236049106,51,False,0.3898809205997845
20260,0.5156527845135706,-0.5807033572057628,66,False,0.28990902642922445
20500,0.43648130951794484,-0.5631209112610214,97,False,0.4661960113722629
20580,0.2638887440937334,-0.6865059476204592,36,False,0.3233423581384474
20740,0.43138719549808935,-0.5635928088568278,59,False,0.32684731865828315
20940,0.4581370617183089,-0.6003481559206088,58,False,0.3767530559605243
21060,0.5351758947933806,-0.6281838204153434,50,False,0.5001122268688081
21140,0.5230747469791274,-0.6042019212924353,56,False,0.6205785163524635
21300,0.07014756658196608,-0.5709029805600642,58,False,0.2734927746960622
21340,0.42880899204488726,-0.5516297721766263,83,False,0.2488727875431606
21420,0.24082795675466864,-0.5306267291660502,29,True,1.2657868073769094
21500,0.33472087771409337,-0.5463072423465184,70,False,0.3532367423982549
21660,0.4648426735325294,-0.5700587217064984,77,False,0.2739693244143077
21780,0.4846087965300277,-0.5923822481347104,67,False,0.3057674407961097
21820,0.589837897204202,-0.6518054259632272,56,False,0.5325033871863469
22020,0.4489963515055659,-0.5458955003676874,63,False,0.42787035676684726
22140,0.36647814081970614,-0.586203702133849,52,False,0.4498491903986493
22180,0.31012064738285877,-0.5697339171272667,84,False,0.4157272725932438
22220,0.4330051974637069,-0.5642195553068571,82,False,0.44084698588832466
22380,0.320670004018274,-0.5449101435534538,68,False,0.48548625618250013
22420,0.2845521659468347,-0.5551696316130497,70,False,0.3289729813478577
22500,0.6557882607139542,-0.6433051436062579,68,False,0.3592504613479604
22520,0.30264179911023503,-0.5736913512486992,54,False,0.5808274251163444
22540,0.35480031460013745,-0.5958483293385509,50,False,0.24152455658730315
22660,0.5072743295901314,-0.5803927837481758,78,False,0.3427970601606724
22900,0.41378448326450945,-0.5931205185114338,57,False,0.5981931769924648
23060,0.5130264610859369,-0.581356525571217,78,False,0.5521303811087502
23420,0.344378079553526,-0.5391693486617508,96,False,0.47585892001275093
23460,0.3939153668700758,-0.616201064929111,43,False,0.34031585605719933
23540,0.39428810902238437,-0.5651025629975753,83,False,0.4765679759606041
23580,0.49373528015528406,-0.5891381086075742,66,False,0.36270351205222606
23900,0.42873731008281374,-0.5854629502844769,52,False,0.35926263972968814
24020,0.4535621027743164,-0.5699237172761795,63,False,0.45976683529155654
24140,0.5351464179601491,-0.6197034442007461,51,False,0.5536051538700609
24220,0.20977265816318513,-0.5709560992501344,54,False,0.40242197416993186
24260,0.47535179981174136,-0.6138380050116972,43,False,0.46811461213220357
24300,0.4714494347754133,-0.609629878470158,60,False,0.44093011010654243
24340,0.2524232014636717,-0.530087798599644,87,False,0.3990266519570004
24420,0.1619232796512941,-0.6139170450107273,42,False,0.4557656986744109
24500,0.3172670251724341,-0.639933927009867,44,False,0.4850903538956989
24540,0.4693371856091457,-0.5719264644165439,77,False,0.4695756823155512
24580,0.2711361065254635,-0.5315891163934967,66,False,0.5461687367896324
24660,0.3541411150973012,-0.5441362454825014,92,False,0.43174654122505934
24780,0.5647970999638259,-0.6188797085424288,70,False,0.5302378412996112
