cbsa,bucket,est,published,gap,pub_moe,moe,pass_pub_moe,pass_combined_moe
32900,1,16711.0,16687,24.0,1167.1876455823203,1433.817519179132,True,True
33100,1,413502.04061517544,412481,1021.0406151754432,6755.491321880297,5607.034788651436,True,True
33140,1,8509.0,8862,-353.0,669.2047519257466,770.4509011668102,True,True
33220,1,7084.802216689403,5958,1126.8022166894034,515.0058252097738,495.43189158030737,False,False
33260,1,10788.506396900244,10112,676.506396900244,1162.0658329027663,1136.8680585546786,True,True
33340,1,112168.0,114725,-2557.0,2785.2972911342877,3708.367304625278,True,True
33460,1,190537.27152825004,192016,-1478.728471749957,3653.4808060259465,5416.622448067716,True,True
33500,1,5388.289776995013,5283,105.2897769950132,598.8113225382433,636.3468123808672,True,True
33540,1,10012.998110533768,10350,-337.00188946623166,779.144402533959,793.0002178102703,True,True
33660,1,36119.0,36117,2.0,1721.8661388156745,2134.6870337991004,True,True
33700,1,29014.0,28598,416.0,1559.8118476277837,1629.1000682140432,True,True
33740,1,18263.78455781823,18315,-51.215442181768594,1081.566918872799,1198.076593272586,True,True
33780,1,10395.0,11167,-772.0,819.217919725881,1020.9447032516013,True,True
33860,1,32038.55262538265,30495,1543.5526253826501,1671.627350817161,1774.0855854794788,True,True
34060,1,11928.10487649064,11858,70.10487649064089,929.439616112849,879.5540413666102,True,True
34100,1,11355.24718833234,11333,22.247188332339647,926.937969877165,888.8738224774131,True,True
34580,1,7248.0,7767,-519.0,588.7537685654335,606.5247954875794,True,True
34620,1,10289.0,10554,-265.0,845.0272184965405,785.7135473170232,True,True
34740,1,13434.0,13976,-542.0,800.7877371688455,973.9796899390408,True,True
